plan_id,user_id,task,expected,progress,memo,date
1,b1013223,オブジェクト指向プログラミング,,,,
2,b1013223,クラス,,,,
3,b1013223,インスタンス,,,,
4,b1013223,クラス変数,,,,
5,b1013223,インスタンス変数,,,,
6,b1013223,継承（インヘリタンス）,,,,
7,b1013223,メソッド,,,,
8,b1013223,LAN,,,,
9,b1013223,INTERNET,,,,
10,b1013223,ルーター,,,,
11,b1013223,ソケット,,,,
12,b1013223,サーバとクライアント,,,,
13,b1013223,IPアドレス,,,,
14,b1013223,ポート番号,,,,
15,b1013223,DHCP,,,,
16,b1013223,DNS,,,,
17,b1015076,オブジェクト指向プログラミング,,,,
18,b1015076,クラス,,,,
19,b1015076,インスタンス,,,,
20,b1015076,クラス変数,,,,
21,b1015076,インスタンス変数,,,,
22,b1015076,継承（インヘリタンス）,,,,
23,b1015076,メソッド,,,,
24,b1015076,LAN,,,,
25,b1015076,INTERNET,,,,
26,b1015076,ルーター,,,,
27,b1015076,ソケット,,,,
28,b1015076,サーバとクライアント,,,,
29,b1015076,IPアドレス,,,,
30,b1015076,ポート番号,,,,
31,b1015076,DHCP,,,,
32,b1015076,DNS,,,,
33,b1015141,オブジェクト指向プログラミング,,,,
34,b1015141,クラス,,,,
35,b1015141,インスタンス,,,,
36,b1015141,クラス変数,,,,
37,b1015141,インスタンス変数,,,,
38,b1015141,継承（インヘリタンス）,,,,
39,b1015141,メソッド,,,,
40,b1015141,LAN,,,,
41,b1015141,INTERNET,,,,
42,b1015141,ルーター,,,,
43,b1015141,ソケット,,,,
44,b1015141,サーバとクライアント,,,,
45,b1015141,IPアドレス,,,,
46,b1015141,ポート番号,,,,
47,b1015141,DHCP,,,,
48,b1015141,DNS,,,,
49,b1015172,オブジェクト指向プログラミング,,,,
50,b1015172,クラス,,,,
51,b1015172,インスタンス,,,,
52,b1015172,クラス変数,,,,
53,b1015172,インスタンス変数,,,,
54,b1015172,継承（インヘリタンス）,,,,
55,b1015172,メソッド,,,,
56,b1015172,LAN,,,,
57,b1015172,INTERNET,,,,
58,b1015172,ルーター,,,,
59,b1015172,ソケット,,,,
60,b1015172,サーバとクライアント,,,,
61,b1015172,IPアドレス,,,,
62,b1015172,ポート番号,,,,
63,b1015172,DHCP,,,,
64,b1015172,DNS,,,,
65,b1015179,オブジェクト指向プログラミング,,,,
66,b1015179,クラス,,,,
67,b1015179,インスタンス,,,,
68,b1015179,クラス変数,,,,
69,b1015179,インスタンス変数,,,,
70,b1015179,継承（インヘリタンス）,,,,
71,b1015179,メソッド,,,,
72,b1015179,LAN,,,,
73,b1015179,INTERNET,,,,
74,b1015179,ルーター,,,,
75,b1015179,ソケット,,,,
76,b1015179,サーバとクライアント,,,,
77,b1015179,IPアドレス,,,,
78,b1015179,ポート番号,,,,
79,b1015179,DHCP,,,,
80,b1015179,DNS,,,,
81,b1015209,オブジェクト指向プログラミング,,,,
82,b1015209,クラス,,,,
83,b1015209,インスタンス,,,,
84,b1015209,クラス変数,,,,
85,b1015209,インスタンス変数,,,,
86,b1015209,継承（インヘリタンス）,,,,
87,b1015209,メソッド,,,,
88,b1015209,LAN,,,,
89,b1015209,INTERNET,,,,
90,b1015209,ルーター,,,,
91,b1015209,ソケット,,,,
92,b1015209,サーバとクライアント,,,,
93,b1015209,IPアドレス,,,,
94,b1015209,ポート番号,,,,
95,b1015209,DHCP,,,,
96,b1015209,DNS,,,,
